airbnb_neighbourhood_group,airbnb_neighbourhood,airbnb_lat,airbnb_long
Brooklyn,Crown Heights,40.66973,-73.95634
Brooklyn,Williamsburg,40.71353,-73.96144
Manhattan,Chelsea,40.74837,-73.99639
Queens,Briarwood,40.71357,-73.81986
Brooklyn,Bedford-Stuyvesant,40.68606,-73.92356
Brooklyn,Greenpoint,40.72607,-73.95777
Brooklyn,Bedford-Stuyvesant,40.68004,-73.9215
Manhattan,Midtown,40.75182,-73.97354
Brooklyn,Flatbush,40.65203,-73.9628
Manhattan,East Harlem,40.79528,-73.9478
Bronx,University Heights,40.86084,-73.90288
Manhattan,Kips Bay,40.74081,-73.98018
Manhattan,Midtown,40.76555,-73.98029
Manhattan,Hell's Kitchen,40.76115,-73.99597
Manhattan,Upper West Side,40.78142,-73.98418
Manhattan,Upper West Side,40.78138,-73.98318
Manhattan,East Village,40.73245,-73.98873
Brooklyn,Bedford-Stuyvesant,40.68559,-73.95398
Manhattan,Harlem,40.82003,-73.95194
Queens,Arverne,40.5921,-73.79285
Manhattan,Financial District,40.70639,-74.00794
Brooklyn,Williamsburg,40.71996,-73.95567
Brooklyn,Gowanus,40.66621,-73.99311
Brooklyn,Williamsburg,40.7083,-73.94933
Brooklyn,Crown Heights,40.67763,-73.94581
Manhattan,Morningside Heights,40.80826,-73.96499
Brooklyn,Park Slope,40.66643,-73.97598
Brooklyn,Fort Hamilton,40.61444,-74.02974
Manhattan,Roosevelt Island,40.7623,-73.95044
Brooklyn,Bedford-Stuyvesant,40.68576,-73.93223
Manhattan,Chinatown,40.71523,-73.99242
Brooklyn,Williamsburg,40.70971,-73.95229
Manhattan,Upper East Side,40.77198,-73.95003
Manhattan,Midtown,40.75993,-73.97054
Brooklyn,Bay Ridge,40.63821,-74.0273
Brooklyn,Bedford-Stuyvesant,40.69022,-73.94298
Manhattan,East Village,40.7232,-73.98223
Brooklyn,Williamsburg,40.71199,-73.95581
Manhattan,Tribeca,40.71812,-74.0044
Brooklyn,Greenpoint,40.72463,-73.94128
Manhattan,Midtown,40.75072,-73.97023
Brooklyn,Prospect-Lefferts Gardens,40.66153,-73.96185
Manhattan,Upper West Side,40.78864,-73.97683
Manhattan,Upper West Side,40.7819,-73.98367
Brooklyn,Bushwick,40.69452,-73.92322
Brooklyn,Crown Heights,40.66961,-73.94032
Manhattan,East Harlem,40.79602,-73.94884
Manhattan,Upper East Side,40.77174,-73.95703
Brooklyn,Bedford-Stuyvesant,40.6965,-73.9601
Queens,Long Island City,40.75502,-73.93163
Manhattan,East Village,40.72163,-73.98291
Queens,East Elmhurst,40.76383,-73.87337
Brooklyn,Clinton Hill,40.69377,-73.96229
Brooklyn,East Flatbush,40.63425,-73.94862
Bronx,Port Morris,40.80743,-73.92971
Manhattan,Upper East Side,40.76906,-73.95369
Brooklyn,Williamsburg,40.71002,-73.96114
Manhattan,Washington Heights,40.84916,-73.93759
Manhattan,Harlem,40.8116,-73.943
Manhattan,Hell's Kitchen,40.75545,-73.99547
Brooklyn,Bedford-Stuyvesant,40.69158,-73.93776
Brooklyn,Bushwick,40.70275,-73.93288
Manhattan,West Village,40.73409,-74.00621
Manhattan,Morningside Heights,40.81387,-73.96205
Manhattan,Inwood,40.8698,-73.92255
Brooklyn,Kensington,40.64272,-73.97187
Brooklyn,Gowanus,40.6714,-73.99257
Manhattan,East Village,40.72807,-73.97718
Manhattan,Midtown,40.74593,-73.98687
Queens,Rego Park,40.72507,-73.86959
Manhattan,Midtown,40.75327,-73.97175
Manhattan,Upper West Side,40.80347,-73.96607
Manhattan,Tribeca,40.72355,-74.01045
Brooklyn,Sunset Park,40.64212,-74.00259
Manhattan,Midtown,40.75373,-73.97272
Queens,Long Island City,40.74902,-73.9472
Manhattan,Murray Hill,40.74917,-73.97549
Brooklyn,Park Slope,40.66763,-73.97486
Manhattan,Washington Heights,40.84798,-73.94092
Brooklyn,Williamsburg,40.71404,-73.95783
Manhattan,Hell's Kitchen,40.76106,-73.98891
Manhattan,West Village,40.73795,-74.00139
Manhattan,Hell's Kitchen,40.76548,-73.99374
Manhattan,Morningside Heights,40.80439,-73.96263
Brooklyn,Greenpoint,40.73792,-73.95541
Manhattan,East Village,40.72638,-73.98464
Manhattan,Washington Heights,40.85365,-73.93298
Brooklyn,Williamsburg,40.71281,-73.94246
Manhattan,Upper West Side,40.77547,-73.98154
Brooklyn,Bedford-Stuyvesant,40.68988,-73.95334
Brooklyn,Williamsburg,40.72162,-73.96029
Brooklyn,Bushwick,40.70076,-73.92878
Brooklyn,Flatbush,40.6456,-73.95982
Manhattan,East Harlem,40.8006,-73.94115
Bronx,Longwood,40.8179,-73.91456
Manhattan,Chelsea,40.74788,-73.99615
Queens,Long Island City,40.7495,-73.93676
Manhattan,Inwood,40.86768,-73.92685
Bronx,Schuylerville,40.83248,-73.83203
Manhattan,Upper West Side,40.78296,-73.98284
Manhattan,Inwood,40.86253,-73.9277
Queens,Glendale,40.70419,-73.88558
Bronx,Norwood,40.87692,-73.87427
Brooklyn,Red Hook,40.67706,-74.01133
Manhattan,Lower East Side,40.72068,-73.98574
Manhattan,Tribeca,40.71845,-74.00932
Brooklyn,Williamsburg,40.70589,-73.95123
Brooklyn,Bushwick,40.69487,-73.9263
Manhattan,Chinatown,40.71682,-73.99574
Brooklyn,Williamsburg,40.70893,-73.94662
Manhattan,Lower East Side,40.71265,-73.98711
Manhattan,Upper East Side,40.76513,-73.96583
Manhattan,East Village,40.7235,-73.97963
Manhattan,Chinatown,40.71333,-73.99225
Manhattan,Kips Bay,40.74227,-73.97432
Brooklyn,Williamsburg,40.71013,-73.96517
Manhattan,West Village,40.73308,-74.00203
Queens,Far Rockaway,40.59495,-73.75771
Brooklyn,Crown Heights,40.67356,-73.92131
Manhattan,Midtown,40.74506,-73.98202
Brooklyn,Flatbush,40.64972,-73.96363
Manhattan,Harlem,40.82128,-73.95835
Manhattan,West Village,40.7326,-74.00824
Brooklyn,Williamsburg,40.70509,-73.93322
Brooklyn,Williamsburg,40.71753,-73.94946
Manhattan,Chelsea,40.74324,-73.99586
Manhattan,East Harlem,40.79372,-73.93445
Brooklyn,Navy Yard,40.70095,-73.98006
Brooklyn,Bushwick,40.69833,-73.9266
Manhattan,Harlem,40.80999,-73.9415
Brooklyn,Williamsburg,40.70827,-73.94749
Manhattan,Upper East Side,40.77675,-73.95206
Manhattan,Harlem,40.80227,-73.95523
Brooklyn,Williamsburg,40.7129,-73.94896
Brooklyn,Crown Heights,40.67673,-73.95311
Manhattan,Midtown,40.75377,-73.97203
Manhattan,Upper East Side,40.77251,-73.95431
Brooklyn,Midwood,40.62066,-73.95378
Brooklyn,Williamsburg,40.71348,-73.93748
Manhattan,Midtown,40.75172,-73.97193
Brooklyn,Park Slope,40.67129,-73.98537
Brooklyn,Bushwick,40.69544,-73.92994
Manhattan,Upper West Side,40.79163,-73.96727
Brooklyn,Gowanus,40.68066,-73.99097
Manhattan,Midtown,40.76501,-73.98076
Manhattan,Chelsea,40.74067,-74.00013
Manhattan,Harlem,40.82097,-73.95282
Manhattan,East Village,40.72558,-73.99025
Queens,Sunnyside,40.74171,-73.9254
Brooklyn,Williamsburg,40.70725,-73.95271
Queens,Woodside,40.74354,-73.90093
Queens,Ditmars Steinway,40.77549,-73.90786
Manhattan,Lower East Side,40.72198,-73.98785
Manhattan,Harlem,40.80931,-73.9412
Brooklyn,Williamsburg,40.70894,-73.94142
Brooklyn,Flatbush,40.65352,-73.96191
Brooklyn,Williamsburg,40.70896,-73.95383
Queens,Middle Village,40.71991,-73.87439
Brooklyn,Williamsburg,40.71734,-73.95952
Brooklyn,Clinton Hill,40.68513,-73.96789
Brooklyn,Bedford-Stuyvesant,40.68156,-73.91424
Brooklyn,Flatbush,40.6528,-73.95805
Bronx,Concourse,40.8262,-73.92557
Queens,Maspeth,40.727,-73.88974
Brooklyn,East Flatbush,40.64638,-73.95065
Brooklyn,East Flatbush,40.64863,-73.94948
Manhattan,Harlem,40.82261,-73.95163
Manhattan,Inwood,40.86688,-73.92402
Manhattan,Upper East Side,40.76794,-73.95712
Queens,Astoria,40.75888,-73.91747
Manhattan,Harlem,40.81488,-73.94221
Brooklyn,Bedford-Stuyvesant,40.68186,-73.91188
Brooklyn,Bedford-Stuyvesant,40.6933,-73.9541
Manhattan,Upper East Side,40.77628,-73.95322
Brooklyn,South Slope,40.66045,-73.98057
Brooklyn,Sunset Park,40.66156,-73.99318
Brooklyn,Crown Heights,40.66404,-73.95141
Brooklyn,Sunset Park,40.65917,-73.99137
Manhattan,East Harlem,40.79732,-73.94873
Manhattan,Murray Hill,40.74604,-73.97495
Brooklyn,Fort Greene,40.69269,-73.9737
Manhattan,Greenwich Village,40.73083,-73.9943
Brooklyn,East Flatbush,40.64342,-73.94037
Brooklyn,Williamsburg,40.71681,-73.96296
Brooklyn,Clinton Hill,40.68118,-73.96126
Brooklyn,Bushwick,40.68863,-73.90874
Brooklyn,Williamsburg,40.71661,-73.9551
Queens,Richmond Hill,40.6887,-73.82572
Brooklyn,Brooklyn Heights,40.693,-73.99374
Queens,Hollis,40.71764,-73.76402
Queens,Astoria,40.77267,-73.92871
Brooklyn,Williamsburg,40.71368,-73.9536
Brooklyn,Flatbush,40.6485,-73.95439
Queens,St. Albans,40.69472,-73.77109
Manhattan,Harlem,40.81516,-73.94829
Brooklyn,Williamsburg,40.70825,-73.94932
Brooklyn,Bedford-Stuyvesant,40.68488,-73.92706
Brooklyn,Prospect Heights,40.67328,-73.96415
Brooklyn,Clinton Hill,40.68855,-73.96476
Brooklyn,Cobble Hill,40.6858,-73.99977
Brooklyn,Bensonhurst,40.61336,-73.9857
Manhattan,Harlem,40.81847,-73.93957
Brooklyn,Clinton Hill,40.69482,-73.96419
Brooklyn,Williamsburg,40.70724,-73.94379
Brooklyn,Prospect Heights,40.67915,-73.96913
Brooklyn,Bedford-Stuyvesant,40.69121,-73.95877
Manhattan,Upper West Side,40.80007,-73.96524
Bronx,Mount Hope,40.85188,-73.90321
Manhattan,Upper East Side,40.77102,-73.94671
Brooklyn,Fort Greene,40.6869,-73.97454
Brooklyn,Bushwick,40.69964,-73.93729
Manhattan,Financial District,40.70493,-74.01036
Manhattan,East Village,40.7229,-73.98476
Manhattan,West Village,40.73233,-74.00329
Queens,East Elmhurst,40.76224,-73.8766
Manhattan,Washington Heights,40.8568,-73.93162
Manhattan,Harlem,40.80371,-73.94377
Manhattan,Upper West Side,40.80288,-73.96396
Brooklyn,Bedford-Stuyvesant,40.6915,-73.92881
Queens,Jamaica,40.71107,-73.78429
Brooklyn,South Slope,40.66812,-73.98595
Queens,Flushing,40.7383,-73.80867
Manhattan,Harlem,40.81378,-73.95152
Brooklyn,Williamsburg,40.71947,-73.96255
Brooklyn,Bedford-Stuyvesant,40.68554,-73.94478
Brooklyn,Bedford-Stuyvesant,40.68392,-73.93123
Queens,Sunnyside,40.74201,-73.92096
Queens,Forest Hills,40.72645,-73.84079
Brooklyn,Bushwick,40.70677,-73.92043
Manhattan,Civic Center,40.71391,-74.00489
Queens,Ridgewood,40.70538,-73.91322
Brooklyn,South Slope,40.66489,-73.9805
Brooklyn,Williamsburg,40.70267,-73.9364
Queens,Astoria,40.7566,-73.91974
Manhattan,East Harlem,40.79465,-73.94021
Brooklyn,Bedford-Stuyvesant,40.67864,-73.9444
Manhattan,Midtown,40.74473,-73.99005
Manhattan,Lower East Side,40.71875,-73.98349
Brooklyn,Bushwick,40.69102,-73.90526
Brooklyn,Greenpoint,40.73693,-73.95507
Manhattan,Harlem,40.83088,-73.945
Brooklyn,Bushwick,40.70476,-73.92195
Brooklyn,Williamsburg,40.70762,-73.94221
Queens,Springfield Gardens,40.68132,-73.75403
Brooklyn,Flatlands,40.62562,-73.94255
Brooklyn,Williamsburg,40.70436,-73.94123
Brooklyn,Bedford-Stuyvesant,40.68519,-73.94176
Brooklyn,Bushwick,40.68994,-73.91556
Brooklyn,Bedford-Stuyvesant,40.6849,-73.9289
Manhattan,Harlem,40.79798,-73.95052
Brooklyn,Crown Heights,40.6714,-73.95547
Manhattan,Hell's Kitchen,40.76585,-73.98507
Manhattan,East Harlem,40.79656,-73.94818
Brooklyn,Downtown Brooklyn,40.69467,-73.98339
Manhattan,Kips Bay,40.73945,-73.98273
Brooklyn,Greenpoint,40.73824,-73.9537
Manhattan,Upper East Side,40.77486,-73.95296
Manhattan,Harlem,40.81367,-73.93809
Manhattan,East Harlem,40.80715,-73.93834
Brooklyn,Greenpoint,40.73362,-73.95983
Brooklyn,East Flatbush,40.64798,-73.94492
Queens,Richmond Hill,40.70162,-73.82349
Brooklyn,Bedford-Stuyvesant,40.68693,-73.94579
Brooklyn,Park Slope,40.67937,-73.98126
Queens,Rego Park,40.72755,-73.86199
Brooklyn,Bedford-Stuyvesant,40.68403,-73.93088
Brooklyn,Williamsburg,40.71151,-73.95142
Brooklyn,Williamsburg,40.70981,-73.96781
Brooklyn,Midwood,40.61535,-73.95351
Manhattan,Harlem,40.8012,-73.95589
Manhattan,Hell's Kitchen,40.76486,-73.98682
Brooklyn,Red Hook,40.67575,-74.01183
Brooklyn,Sunset Park,40.65944,-73.98898
Manhattan,Hell's Kitchen,40.76636,-73.98574
Brooklyn,Williamsburg,40.70987,-73.9472
Manhattan,East Harlem,40.80545,-73.93838
Brooklyn,Fort Greene,40.68891,-73.97284
Brooklyn,Boerum Hill,40.6862,-73.98906
Brooklyn,Cobble Hill,40.68844,-73.99142
Queens,Long Island City,40.75699,-73.93499
Brooklyn,Prospect-Lefferts Gardens,40.66034,-73.95981
Brooklyn,Williamsburg,40.70431,-73.93273
Queens,Maspeth,40.72344,-73.91052
Brooklyn,Prospect-Lefferts Gardens,40.66077,-73.96004
Brooklyn,Bedford-Stuyvesant,40.68314,-73.92981
Brooklyn,Bedford-Stuyvesant,40.69463,-73.94938
Manhattan,East Harlem,40.80674,-73.94146
Manhattan,Midtown,40.756,-73.97078
Brooklyn,Sunset Park,40.65948,-73.99243
Manhattan,West Village,40.73898,-74.00415
Brooklyn,Bushwick,40.70163,-73.9227
Manhattan,East Village,40.72423,-73.97885
Brooklyn,Greenpoint,40.72347,-73.94039
Manhattan,Upper East Side,40.77672,-73.95559
Manhattan,Chelsea,40.74503,-73.99922
Manhattan,Harlem,40.80767,-73.95127
Brooklyn,Sunset Park,40.64364,-74.01206
Manhattan,East Harlem,40.79747,-73.93559
Manhattan,Midtown,40.75382,-73.97192
Brooklyn,Carroll Gardens,40.67735,-73.99706
Manhattan,Washington Heights,40.8531,-73.93872
Manhattan,Lower East Side,40.71919,-73.99208
Brooklyn,Bedford-Stuyvesant,40.68076,-73.95751
Queens,East Elmhurst,40.76441,-73.88943
Brooklyn,Greenpoint,40.73677,-73.95418
Brooklyn,Williamsburg,40.71237,-73.93899
Brooklyn,Williamsburg,40.71708,-73.94278
Brooklyn,Fort Greene,40.69701,-73.97524
Brooklyn,Park Slope,40.68057,-73.97722
Brooklyn,Park Slope,40.66825,-73.98432
Manhattan,East Village,40.72787,-73.9792
Manhattan,Hell's Kitchen,40.76468,-73.9868
Brooklyn,Bushwick,40.68886,-73.91906
Queens,Woodside,40.74271,-73.9046
Queens,Astoria,40.77255,-73.93023
Manhattan,Hell's Kitchen,40.76242,-73.98813
Manhattan,Chinatown,40.71471,-73.9993
Manhattan,Harlem,40.82621,-73.95104
Manhattan,Hell's Kitchen,40.76738,-73.98565
Queens,Elmhurst,40.73734,-73.87215
Manhattan,West Village,40.72999,-74.00475
Manhattan,Midtown,40.75369,-73.96679
Brooklyn,East Flatbush,40.64836,-73.94547
Brooklyn,Prospect-Lefferts Gardens,40.65961,-73.9592
Brooklyn,Bedford-Stuyvesant,40.67983,-73.92121
Brooklyn,Bedford-Stuyvesant,40.69089,-73.95854
Manhattan,Upper East Side,40.77327,-73.9547
Brooklyn,Crown Heights,40.67024,-73.93406
Manhattan,West Village,40.73194,-74.00254
Manhattan,Washington Heights,40.83537,-73.93974
Manhattan,Hell's Kitchen,40.76591,-73.99016
Brooklyn,Fort Greene,40.68586,-73.97269
Brooklyn,Williamsburg,40.70867,-73.94061
Brooklyn,Greenpoint,40.72411,-73.94182
Manhattan,Harlem,40.80283,-73.95569
Manhattan,Midtown,40.74489,-73.98382
Brooklyn,Bedford-Stuyvesant,40.67948,-73.90822
Brooklyn,Fort Greene,40.6864,-73.96882
Brooklyn,Williamsburg,40.71285,-73.96477
Brooklyn,Williamsburg,40.71246,-73.95308
Manhattan,Upper East Side,40.78046,-73.96047
Manhattan,Harlem,40.82777,-73.9407
Brooklyn,Williamsburg,40.71483,-73.94935
Manhattan,Upper West Side,40.78339,-73.98168
Manhattan,East Harlem,40.79501,-73.94448
Manhattan,Hell's Kitchen,40.7586,-73.98974
Manhattan,SoHo,40.72182,-74.00033
Manhattan,East Harlem,40.79453,-73.94543
Brooklyn,Crown Heights,40.67676,-73.94513
Brooklyn,East Flatbush,40.63876,-73.95073
Brooklyn,Windsor Terrace,40.65552,-73.97493
Brooklyn,Park Slope,40.67697,-73.97406
Brooklyn,Bedford-Stuyvesant,40.68949,-73.9557
Queens,Sunnyside,40.74801,-73.91777
Manhattan,Lower East Side,40.71789,-73.98308
Manhattan,Harlem,40.80172,-73.95538
Queens,Richmond Hill,40.68979,-73.82974
Brooklyn,Park Slope,40.67451,-73.97501
Queens,Astoria,40.76746,-73.92781
Manhattan,Midtown,40.75329,-73.9888
Bronx,Fordham,40.85318,-73.90204
Manhattan,Harlem,40.80842,-73.95568
Manhattan,Chinatown,40.71423,-73.99442
Brooklyn,Williamsburg,40.71064,-73.95919
Brooklyn,Williamsburg,40.70921,-73.94144
Manhattan,Flatiron District,40.74147,-73.98577
Manhattan,Financial District,40.70932,-74.00536
Brooklyn,Bedford-Stuyvesant,40.68039,-73.94302
Manhattan,Chinatown,40.71723,-73.99162
Brooklyn,Bushwick,40.68637,-73.91133
Manhattan,Murray Hill,40.74811,-73.97868
Queens,Jamaica,40.66893,-73.77144
Manhattan,West Village,40.73702,-73.99739
Manhattan,Chinatown,40.71489,-73.99459
Brooklyn,Bedford-Stuyvesant,40.69493,-73.94525
Brooklyn,Bedford-Stuyvesant,40.69318,-73.95669
Brooklyn,Prospect Heights,40.68237,-73.97286
Brooklyn,Bushwick,40.69455,-73.91118
Manhattan,Harlem,40.81335,-73.95616
Brooklyn,Bedford-Stuyvesant,40.6896,-73.9326
Manhattan,East Harlem,40.79345,-73.93977
Bronx,Mott Haven,40.8115,-73.9258
Manhattan,Harlem,40.82818,-73.9389
Brooklyn,Flatbush,40.65229,-73.9603
Manhattan,Washington Heights,40.84941,-73.93432
Brooklyn,Crown Heights,40.67089,-73.95473
Brooklyn,Williamsburg,40.70811,-73.9326
Manhattan,Harlem,40.82851,-73.94054
Brooklyn,Bushwick,40.69692,-73.90832
Brooklyn,Bedford-Stuyvesant,40.67692,-73.91541
Bronx,Soundview,40.82987,-73.86608
Brooklyn,Crown Heights,40.67356,-73.9321
Brooklyn,South Slope,40.6618,-73.98234
Brooklyn,Bay Ridge,40.63295,-74.03028
Bronx,Morris Park,40.84906,-73.85418
Manhattan,Midtown,40.75481,-73.96982
Brooklyn,Prospect Heights,40.68018,-73.96422
Manhattan,East Harlem,40.78805,-73.94924
Manhattan,Washington Heights,40.84353,-73.94201
Brooklyn,Gravesend,40.58906,-73.98245
Manhattan,Greenwich Village,40.73239,-73.9996
Brooklyn,Sheepshead Bay,40.59338,-73.9579
Manhattan,Harlem,40.80249,-73.95622
Manhattan,Upper East Side,40.76404,-73.96547
Bronx,University Heights,40.8562,-73.90899
Manhattan,Roosevelt Island,40.76335,-73.94937
Manhattan,Upper East Side,40.76281,-73.96718
Manhattan,Greenwich Village,40.72851,-73.99985
Manhattan,East Village,40.72931,-73.98258
Brooklyn,East Flatbush,40.65071,-73.94508
Brooklyn,Williamsburg,40.71609,-73.94791
Brooklyn,South Slope,40.666,-73.9902
Manhattan,Little Italy,40.71909,-73.99562
Brooklyn,East New York,40.67449,-73.89053
Manhattan,East Harlem,40.80964,-73.93964
Brooklyn,Flatbush,40.65009,-73.96336
Manhattan,East Harlem,40.80055,-73.94101
Brooklyn,Bushwick,40.69228,-73.91399
Manhattan,East Harlem,40.79933,-73.94272
Manhattan,Washington Heights,40.83935,-73.94019
Brooklyn,Crown Heights,40.67219,-73.92168
Brooklyn,Bay Ridge,40.63473,-74.02833
Manhattan,East Village,40.72885,-73.98103
Brooklyn,Williamsburg,40.71286,-73.96084
Manhattan,Morningside Heights,40.80432,-73.96694
Brooklyn,East Flatbush,40.64513,-73.9488
Manhattan,Chelsea,40.74814,-74.00372
Manhattan,Upper East Side,40.76347,-73.9631
Brooklyn,Cobble Hill,40.68687,-73.99471
Manhattan,Lower East Side,40.71863,-73.98958
Manhattan,Lower East Side,40.71892,-73.98958
Brooklyn,Flatbush,40.64335,-73.96745
Brooklyn,Greenpoint,40.72601,-73.95502
Brooklyn,Prospect Heights,40.67308,-73.96294
Brooklyn,Sheepshead Bay,40.60738,-73.955
Brooklyn,Bushwick,40.69749,-73.9336
Brooklyn,Williamsburg,40.71842,-73.94467
Brooklyn,Sheepshead Bay,40.59425,-73.95922
Brooklyn,Clinton Hill,40.69559,-73.96998
Queens,Ridgewood,40.70475,-73.91081
Brooklyn,Bushwick,40.6821,-73.90856
Manhattan,Lower East Side,40.7219,-73.98717
Queens,Jamaica,40.67949,-73.79841
Bronx,Fordham,40.87035,-73.89335
Manhattan,Harlem,40.81884,-73.94579
Brooklyn,Sunset Park,40.63964,-74.01975
Bronx,Fordham,40.86925,-73.89534
Manhattan,Lower East Side,40.72275,-73.98918
Manhattan,Upper East Side,40.77328,-73.94982
Brooklyn,Windsor Terrace,40.65815,-73.9817
Brooklyn,Windsor Terrace,40.65559,-73.97797
Brooklyn,East Flatbush,40.64471,-73.9495
Brooklyn,Williamsburg,40.71778,-73.95503
Brooklyn,Williamsburg,40.70833,-73.93916
Manhattan,Upper West Side,40.77016,-73.98126
Brooklyn,Bedford-Stuyvesant,40.6808,-73.93753
Manhattan,Gramercy,40.73575,-73.98
Brooklyn,DUMBO,40.70287,-73.98518
Queens,Ditmars Steinway,40.77235,-73.91789
Manhattan,Chelsea,40.74089,-74.00002
Manhattan,Little Italy,40.72043,-73.99706
Manhattan,Lower East Side,40.72293,-73.98918
Manhattan,Murray Hill,40.74976,-73.97444
Manhattan,East Village,40.72979,-73.98917
Brooklyn,East Flatbush,40.65151,-73.94957
Brooklyn,Flatbush,40.64476,-73.96473
Brooklyn,East Flatbush,40.64136,-73.94705
Brooklyn,Bedford-Stuyvesant,40.68785,-73.94262
Brooklyn,Williamsburg,40.70942,-73.96331
Brooklyn,Bushwick,40.69284,-73.90695
Brooklyn,Clinton Hill,40.68976,-73.96533
Manhattan,Harlem,40.82545,-73.95295
Manhattan,Upper East Side,40.78429,-73.94878
Brooklyn,Cypress Hills,40.68668,-73.87565
Manhattan,Hell's Kitchen,40.75673,-73.99362
Manhattan,Upper West Side,40.7843,-73.98262
Brooklyn,Bedford-Stuyvesant,40.68841,-73.95082
Manhattan,NoHo,40.72569,-73.99519
Brooklyn,Flatbush,40.63192,-73.94734
Brooklyn,South Slope,40.66411,-73.98267
Brooklyn,East Flatbush,40.6392,-73.94732
Brooklyn,East Flatbush,40.65024,-73.95051
Brooklyn,East New York,40.65877,-73.89631
Manhattan,Washington Heights,40.85046,-73.94271
Manhattan,Midtown,40.75562,-73.96539
Brooklyn,Williamsburg,40.70669,-73.94648
Manhattan,Midtown,40.75305,-73.97358
Manhattan,Midtown,40.75373,-73.97287
Manhattan,Hell's Kitchen,40.76318,-73.99009
Queens,Sunnyside,40.73661,-73.92514
Queens,Ditmars Steinway,40.76814,-73.89573
Manhattan,Upper East Side,40.77659,-73.95407
Manhattan,Upper East Side,40.76516,-73.95868
Manhattan,Harlem,40.80346,-73.94583
Brooklyn,Gowanus,40.66948,-73.98976
Manhattan,Harlem,40.81609,-73.93663
Brooklyn,Bay Ridge,40.63845,-74.02649
Queens,Sunnyside,40.74561,-73.91927
Queens,Maspeth,40.73147,-73.89486
Manhattan,Chelsea,40.74512,-73.99179
Manhattan,Little Italy,40.71867,-73.99709
Manhattan,Chinatown,40.71681,-73.99539
Staten Island,Stapleton,40.6322,-74.07789
Manhattan,West Village,40.73249,-74.00854
Manhattan,Harlem,40.80495,-73.9556
Manhattan,Washington Heights,40.85622,-73.93147
Manhattan,Harlem,40.80443,-73.94546
Brooklyn,Williamsburg,40.70711,-73.95344
Queens,Woodside,40.74616,-73.90392
Brooklyn,Bushwick,40.70097,-73.9381
Brooklyn,Williamsburg,40.70513,-73.93063
Bronx,Kingsbridge,40.87924,-73.89791
Manhattan,Theater District,40.75951,-73.98796
Queens,Astoria,40.76773,-73.91701
Brooklyn,Bushwick,40.70657,-73.92181
Brooklyn,Greenpoint,40.7244,-73.93913
Brooklyn,Bedford-Stuyvesant,40.68869,-73.9231
Manhattan,Upper West Side,40.79241,-73.97262
Manhattan,Lower East Side,40.71974,-73.99263
Manhattan,Lower East Side,40.71873,-73.99073
Brooklyn,Boerum Hill,40.68583,-73.98267
Manhattan,SoHo,40.7255,-74.00258
Manhattan,East Village,40.72977,-73.98841
Manhattan,East Village,40.72951,-73.98239
Brooklyn,Park Slope,40.6675,-73.97694
Brooklyn,Bedford-Stuyvesant,40.68498,-73.92613
Brooklyn,Bedford-Stuyvesant,40.681,-73.94707
Manhattan,Kips Bay,40.73948,-73.97643
Manhattan,Morningside Heights,40.80766,-73.96594
Queens,Ditmars Steinway,40.77707,-73.91887
Brooklyn,Windsor Terrace,40.65998,-73.97811
Manhattan,West Village,40.73459,-74.00143
Manhattan,Chinatown,40.71427,-73.99261
Manhattan,Washington Heights,40.84194,-73.94203
Queens,Forest Hills,40.71848,-73.85025
Brooklyn,Windsor Terrace,40.66063,-73.98348
Manhattan,Financial District,40.70588,-74.0159
Brooklyn,Bedford-Stuyvesant,40.68438,-73.95299
Manhattan,Upper East Side,40.77759,-73.95321
Brooklyn,Williamsburg,40.71218,-73.96048
Manhattan,Upper East Side,40.76868,-73.95744
Queens,Astoria,40.76964,-73.91559
Brooklyn,Park Slope,40.68203,-73.97834
Brooklyn,Bushwick,40.70079,-73.91847
Brooklyn,Bushwick,40.6978,-73.91677
Brooklyn,Bay Ridge,40.62158,-74.02394
Brooklyn,South Slope,40.66398,-73.99041
Brooklyn,Greenpoint,40.72155,-73.94414
Manhattan,Harlem,40.82793,-73.94349
Brooklyn,Bushwick,40.69735,-73.9327
Manhattan,Kips Bay,40.74261,-73.98102
Brooklyn,Crown Heights,40.66926,-73.93211
Bronx,Concourse Village,40.82692,-73.92183
Manhattan,Chelsea,40.75166,-73.99506
Brooklyn,Flatbush,40.64918,-73.96657
Brooklyn,Williamsburg,40.7176,-73.95359
Brooklyn,Kensington,40.64237,-73.98048
Manhattan,Harlem,40.80934,-73.95072
Brooklyn,Crown Heights,40.67138,-73.93679
Manhattan,Harlem,40.82167,-73.94988
Manhattan,Hell's Kitchen,40.76617,-73.98398
Brooklyn,Williamsburg,40.71976,-73.96052
Manhattan,Harlem,40.8236,-73.93755
Brooklyn,Williamsburg,40.71586,-73.95395
Brooklyn,Bushwick,40.70322,-73.92025
Manhattan,Stuyvesant Town,40.73126,-73.98149
Staten Island,Randall Manor,40.63552,-74.12125
Brooklyn,Bedford-Stuyvesant,40.69309,-73.94987
Queens,Elmhurst,40.74552,-73.88285
Manhattan,Upper West Side,40.78068,-73.9767
Manhattan,Washington Heights,40.83498,-73.94214
Manhattan,Lower East Side,40.7128,-73.98909
Manhattan,Lower East Side,40.71203,-73.99008
Manhattan,Midtown,40.75784,-73.96088
Manhattan,Gramercy,40.73328,-73.98241
Manhattan,Upper East Side,40.77565,-73.94919
